iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
AAA,Anaa Airport,Anaa,PF,PF-U-A,medium_airport,-17.3526,-145.509995
AAC,El Arish International Airport,El Arish,EG,EG-SIN,large_airport,31.055324,33.827964
AAE,Annaba Rabah Bitat Airport,Annaba,DZ,DZ-23,large_airport,36.826781,7.81334
AAK,Aranuka Airport,Buariki,KI,KI-G,small_airport,0.185278,173.636993
AAL,Aalborg Airport,Aalborg,DK,DK-81,large_airport,57.094763,9.84993
AAN,Al Ain International Airport,Al Ain,AE,AE-AZ,large_airport,24.2617,55.6092
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,ID-KI,medium_airport,-0.374478,117.250128
AAR,Aarhus Airport,Aarhus,DK,DK-82,large_airport,56.303331,10.618286
AAT,Altay Xuedu Airport,Altay,CN,CN-65,medium_airport,47.749886,88.085808
AAX,Romeu Zema Airport,Araxá,BR,BR-MG,medium_airport,-19.5632,-46.9604
AAY,Al Ghaydah International Airport,Al Ghaydah,YE,YE-MR,medium_airport,16.193341,52.174186
AAZ,Quezaltenango Airport,Quezaltenango,GT,GT-QZ,small_airport,14.8656,-91.501999
ABA,Abakan International Airport,Abakan,RU,RU-KK,large_airport,53.740002,91.385002
ABB,Asaba International Airport,Asaba,NG,NG-DE,large_airport,6.204167,6.665278
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,IR-06,large_airport,30.367887,48.230075
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,US-PA,medium_airport,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,US,US-TX,medium_airport,32.4113006592,-99.68190002440001
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,CI-AB,large_airport,5.26139,-3.92629
ABK,Kebri Dahar Airport,Kebri Dahar,ET,ET-SO,medium_airport,6.732577,44.241339
ABL,Ambler Airport,Ambler,US,US-AK,medium_airport,67.105529,-157.855339
ABM,Northern Peninsula Airport,Bamaga,AU,AU-QLD,small_airport,-10.946194,142.455081
ABQ,Albuquerque International Sunport,Albuquerque,US,US-NM,large_airport,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,US,US-SD,medium_airport,45.449100494384766,-98.42179870605469
ABS,Abu Simbel Airport,Abu Simbel,EG,EG-ASN,medium_airport,22.375924,31.611734
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,SA-11,medium_airport,20.298506,41.636153
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID,ID-NT,small_airport,-9.074841,124.903285
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,NG-FC,large_airport,9.00679,7.26317
ABX,Albury Airport,East Albury,AU,AU-NSW,medium_airport,-36.066758,146.959148
ABY,Southwest Georgia Regional Airport,Albany,US,US-GA,medium_airport,31.532946,-84.196215
ABZ,Aberdeen International Airport,Aberdeen,GB,GB-SCT,large_airport,57.2019,-2.19778
ACA,General Juan N. Álvarez International Airport,Acapulco,MX,MX-GRO,large_airport,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,GH,GH-AA,large_airport,5.605189800262451,-0.16678600013256073
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,ES-CN,large_airport,28.945499,-13.6052
ACF,Aral Tarim Airport,Aral,CN,CN-65,small_airport,40.434748,81.26206
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH,CH-SG,medium_airport,47.485001,9.56077
ACI,Alderney Airport,Saint Anne,GG,GG-A,medium_airport,49.706104,-2.21472
ACK,Nantucket Memorial Airport,Nantucket,US,US-MA,medium_airport,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,US,US-TX,medium_airport,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,US-CA,medium_airport,40.978101,-124.109
ACX,Xingyi Wanfenglin Airport,Xingyi,CN,CN-52,medium_airport,25.083423,104.960804
ACY,Atlantic City International Airport,Atlantic City,US,US-NJ,medium_airport,39.456201,-74.577511
ADB,Adnan Menderes International Airport,Gaziemir,TR,TR-35,large_airport,38.2924,27.157
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,ET-AA,large_airport,8.97789,38.799301
ADE,Aden International Airport,Aden,YE,YE-AD,large_airport,12.829564,45.029976
ADF,Adıyaman Airport,Adıyaman,TR,TR-02,medium_airport,37.7314,38.468899
ADJ,Marka International (Amman Civil) Airport,Amman,JO,JO-AM,large_airport,31.9727,35.9916
ADK,Adak Airport,Adak,US,US-AK,medium_airport,51.883564,-176.642783
ADL,Adelaide International Airport,Adelaide,AU,AU-SA,large_airport,-34.947512,138.533393
ADQ,Kodiak Airport,Kodiak,US,US-AK,medium_airport,57.75,-152.4940033
ADU,Ardabil Airport,Ardabil,IR,IR-24,medium_airport,38.3256988525,48.4244003296
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO,CO-SAP,large_airport,12.5836,-81.7112
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN,CN-45,medium_airport,23.7206,106.959999
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR,AR-C,large_airport,-34.559419,-58.415536
AER,Sochi International Airport,Sochi,RU,RU-KDA,large_airport,43.449902,39.9566
AES,Ålesund Airport,Ålesund,NO,NO-15,large_airport,62.560443,6.110845
AET,Allakaket Airport,Allakaket,US,US-AK,small_airport,66.551804,-152.621994
AEU,Abu Musa Island Airport,Abu Musa,IR,IR-22,medium_airport,25.8757,55.033001
AEX,Alexandria International Airport,Alexandria,US,US-LA,medium_airport,31.325828,-92.546702
AEY,Akureyri International Airport,Akureyri,IS,IS-6,large_airport,65.656573,-18.072018
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,AR-M,medium_airport,-34.588299,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,BR-MT,medium_airport,-9.866389,-56.106298
AFZ,Sabzevar National Airport,Sabzevar,IR,IR-09,medium_airport,36.16809844970703,57.59519958496094
AGA,Al Massira Airport,Agadir (Temsia),MA,MA-09,large_airport,30.322478,-9.412003
AGE,Wangerooge Airport,Wangerooge,DE,DE-NI,small_airport,53.782544,7.919584
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,SE-M,medium_airport,56.29610061645508,12.847100257873535
AGI,Wageningen Airstrip,Wageningen,SR,SR-NI,small_airport,5.841252,-56.673247
AGJ,Aguni Airport,Aguni,JP,JP-47,small_airport,26.592755,127.240335
AGP,Málaga-Costa del Sol Airport,Málaga,ES,ES-AN,large_airport,36.6749,-4.49911
AGR,Agra Airport / Agra Air Force Station,Agra,IN,IN-UP,medium_airport,27.157975,77.961025
AGS,Augusta Regional At Bush Field,Augusta,US,US-GA,medium_airport,33.3699,-81.9645
AGT,Guaraní International Airport,Ciudad del Este,PY,PY-10,large_airport,-25.457186,-54.839544
AGU,Aguascalientes International Airport,Aguascalientes,MX,MX-AGU,large_airport,21.699589,-102.318372
AGX,Agatti Airport,Agatti,IN,IN-LD,medium_airport,10.8237,72.176003
AHA,Maa Mahamaya Airport,Ambikapur,IN,IN-CT,medium_airport,22.98753,83.19612
AHB,Abha International Airport,Abha,SA,SA-14,large_airport,18.2404,42.656601
AHE,Ahe Airport,Ahe Atoll,PF,PF-U-A,medium_airport,-14.428099632263184,-146.2570037841797
AHO,Alghero-Fertilia Airport,Alghero,IT,IT-88,medium_airport,40.632099,8.29077
AHU,Cherif Al Idrissi Airport,Al Hoceima,MA,MA-01,medium_airport,35.177101,-3.83952
AIA,Alliance Municipal Airport,Alliance,US,US-NE,medium_airport,42.052543,-102.803965
AIN,Wainwright Airport,Wainwright,US,US-AK,medium_airport,70.638,-159.994995
AIP,Adampur Airport,Adampur,IN,IN-PB,small_airport,31.4338,75.758797
AIT,Aitutaki Airport,Aitutaki,CK,CK-U-A,small_airport,-18.8309,-159.764008
AIU,Enua Airport,Atiu Island,CK,CK-U-A,small_airport,-19.96780014038086,-158.11900329589844
AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,FR-COR,medium_airport,41.923599,8.80292
AJF,Al-Jawf International Airport,Al-Jawf,SA,SA-12,large_airport,29.783301,40.100905
AJI,Ağrı Airport,Ağrı,TR,TR-04,medium_airport,39.655642,43.025742
AJL,Lengpui Airport,Aizawl (Lengpui),IN,IN-MZ,medium_airport,23.840599,92.619698
AJN,Ouani Airport,Ouani,KM,KM-A,medium_airport,-12.131047,44.430044
AJR,Arvidsjaur Airport,Arvidsjaur,SE,SE-BD,medium_airport,65.59030151367188,19.28190040588379
AJU,Aracaju - Santa Maria Airport,Aracaju,BR,BR-SE,medium_airport,-10.98394,-37.072873
AKA,Ankang Fuqiang Airport,Ankang (Hanbin),CN,CN-61,small_airport,32.75696,108.87338
AKB,Atka Airport,Atka,US,US-AK,small_airport,52.220299,-174.205994
AKF,Kufra Airport,Kufra,LY,LY-KF,medium_airport,24.178699493408203,23.31399917602539
AKI,Akiak Airport,Akiak,US,US-AK,small_airport,60.902646,-161.23106
AKJ,Asahikawa Airport,Higashikagura,JP,JP-01,medium_airport,43.670799,142.447006
AKK,Akhiok Airport,Akhiok,US,US-AK,small_airport,56.938702,-154.182999
AKL,Auckland International Airport,Auckland,NZ,NZ-AUK,large_airport,-37.01199,174.786331
AKN,King Salmon Airport,King Salmon,US,US-AK,medium_airport,58.677845,-156.651965
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,US-AK,medium_airport,68.133598,-151.742996
AKR,Akure Airport,Akure,NG,NG-ON,medium_airport,7.246739864349365,5.3010101318359375
AKS,Gwaunaru'u Airport,Auki,SB,SB-ML,small_airport,-8.70257,160.682007
AKU,Aksu Hongqipo Airport,Aksu (Onsu),CN,CN-65,medium_airport,41.262501,80.291702
AKV,Akulivik Airport,Akulivik,CA,CA-QC,small_airport,60.8186,-78.148598
AKX,Aktobe International Airport,Aktobe,KZ,KZ-AKT,large_airport,50.248116,57.204144
AKY,Sittwe Airport,Sittwe,MM,MM-16,medium_airport,20.133165,92.870693
ALA,Almaty International Airport,Almaty,KZ,KZ-ALA,large_airport,43.354267,77.042828
ALB,Albany International Airport,Albany,US,US-NY,large_airport,42.748299,-73.801697
ALC,Alicante-Elche Miguel Hernández Airport,Alicante,ES,ES-VC,large_airport,38.2822,-0.558156
ALF,Alta Airport,Alta,NO,NO-56,medium_airport,69.976097,23.3717
ALG,Houari Boumediene Airport,Algiers,DZ,DZ-16,large_airport,36.693886,3.214531
ALH,Albany Airport,Albany,AU,AU-WA,medium_airport,-34.943333,117.808889
ALO,Waterloo Regional Airport,Waterloo,US,US-IA,medium_airport,42.557098388671875,-92.40029907226562
ALP,Aleppo International Airport,Aleppo,SY,SY-HL,large_airport,36.181262,37.226869
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,US-CO,medium_airport,37.434898,-105.866997
ALW,Walla Walla Regional Airport,Walla Walla,US,US-WA,medium_airport,46.09489822,-118.288002
AMA,Rick Husband Amarillo International Airport,Amarillo,US,US-TX,medium_airport,35.217857,-101.706444
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN,IN-GJ,large_airport,23.0772,72.634697
AMH,Arba Minch Airport,Arba Minch,ET,ET-SN,medium_airport,6.03939,37.5905
AMM,Queen Alia International Airport,Amman,JO,JO-AM,large_airport,31.7226009369,35.9931983948
AMQ,Pattimura International Airport,Ambon,ID,ID-MA,large_airport,-3.71026,128.089005
AMS,Amsterdam Airport Schiphol,Amsterdam,NL,NL-NH,large_airport,52.308601,4.76389
AMV,Amderma Airport,Amderma,RU,RU-NEN,medium_airport,69.763712,61.556711
ANC,Ted Stevens Anchorage International Airport,Anchorage,US,US-AK,large_airport,61.179004,-149.992561
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,CL,CL-AN,large_airport,-23.445274,-70.445232
ANI,Aniak Airport,Aniak,US,US-AK,medium_airport,61.581600189208984,-159.54299926757812
ANR,Antwerp International Airport (Deurne),Antwerp,BE,BE-VAN,medium_airport,51.190667,4.463153
ANS,Andahuaylas Airport,Andahuaylas,PE,PE-APU,small_airport,-13.706399917602539,-73.35040283203125
ANU,V. C. Bird International Airport,Osbourn,AG,AG-03,large_airport,17.1367,-61.792702
ANV,Anvik Airport,Anvik,US,US-AK,medium_airport,62.646702,-160.190994
ANX,"Andøya Airport, Andenes",Andenes,NO,NO-18,medium_airport,69.295193,16.139379
AOE,Hasan Polatkan Airport,Eskişehir,TR,TR-26,large_airport,39.811644,30.519268
AOG,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN,CN-21,medium_airport,41.105301,122.853996
AOI,Marche Airport,Falconara Marittima (AN),IT,IT-57,medium_airport,43.616299,13.3623
AOJ,Aomori Airport,Aomori,JP,JP-02,large_airport,40.733777,140.689477
AOK,Karpathos Airport,Karpathos Island,GR,GR-L,medium_airport,35.421398,27.146
AOO,Altoona Blair County Airport,Altoona,US,US-PA,medium_airport,40.296398,-78.32
AOR,Sultan Abdul Halim Airport,Alor Satar,MY,MY-02,medium_airport,6.189670085906982,100.39800262451172
APK,Apataki Airport,Apataki,PF,PF-U-A,small_airport,-15.5736,-146.414993
APL,Nampula Airport,Nampula,MZ,MZ-N,large_airport,-15.1056,39.281799
APN,Alpena County Regional Airport,Alpena,US,US-MI,medium_airport,45.0780983,-83.56030273
APO,Antonio Roldán Betancur Airport,Carepa,CO,CO-ANT,medium_airport,7.81196,-76.7164
APW,Faleolo International Airport,Apia,WS,WS-AA,large_airport,-13.83,-172.007996
AQA,Araraquara Airport,Araraquara,BR,BR-SP,medium_airport,-21.812,-48.132999
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN,CN-34,medium_airport,30.582199,117.050003
AQI,Qaisumah–Hafar Al-Batin International Airport,Qaisumah,SA,SA-04,large_airport,28.335726,46.127108
AQJ,King Hussein International Airport,Aqaba,JO,JO-AQ,large_airport,29.611601,35.018101
AQP,Rodríguez Ballón International Airport,Arequipa,PE,PE-ARE,large_airport,-16.340786,-71.569485
ARC,Arctic Village Airport,Arctic Village,US,US-AK,medium_airport,68.1147,-145.578995
ARD,Alor Island - Mali Airport,Kabola,ID,ID-NT,small_airport,-8.13234,124.597
ARH,Talagi Airport,Archangelsk,RU,RU-ARK,medium_airport,64.60030364990234,40.71670150756836
ARI,Chacalluta International Airport,Arica,CL,CL-AP,medium_airport,-18.348499,-70.338699
ARK,Arusha Airport,Arusha,TZ,TZ-01,medium_airport,-3.3677899837493896,36.63330078125
ARM,Armidale Airport,Armidale,AU,AU-NSW,medium_airport,-30.528099060099997,151.617004395
ARN,Stockholm-Arlanda Airport,Stockholm,SE,SE-AB,large_airport,59.64849,17.928829
ART,Watertown International Airport,Watertown,US,US-NY,medium_airport,43.991901,-76.021698
ARU,Araçatuba Airport,Araçatuba,BR,BR-SP,medium_airport,-21.141479,-50.424575
ARW,Arad International Airport,Arad,RO,RO-AR,medium_airport,46.176136,21.264322
ASB,Ashgabat International Airport,Ashgabat,TM,TM-S,large_airport,37.986801,58.361
ASD,Andros Town Airport,Andros Town,BS,BS-NS,medium_airport,24.697901,-77.795601
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,US-CO,medium_airport,39.223202,-106.869003
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,RU-AST,large_airport,46.282843,48.010511
ASI,RAF Ascension Island,Cat Hill,SH,SH-AC,medium_airport,-7.970179,-14.392744
ASJ,Amami Airport,Amami,JP,JP-46,medium_airport,28.430599212646484,129.71299743652344
ASM,Asmara International Airport,Asmara,ER,ER-SK,medium_airport,15.2919,38.910702
ASO,Asosa Airport,Asosa,ET,ET-BE,medium_airport,10.018500328063965,34.586299896240234
ASP,Alice Springs Airport,Alice Springs,AU,AU-NT,medium_airport,-23.806588,133.903427
ASR,Kayseri Erkilet International Airport,Kayseri,TR,TR-38,large_airport,38.770401,35.495399
ASU,Silvio Pettirossi International Airport,Asunción,PY,PY-11,large_airport,-25.240156,-57.519227
ASV,Amboseli Airport,Ol Tukai,KE,KE-34,medium_airport,-2.644786,37.252922
ASW,Aswan International Airport,Aswan,EG,EG-ASN,large_airport,23.961075,32.820382
ATC,Arthur's Town Airport,Arthur's Town,BS,BS-CI,medium_airport,24.6294,-75.673797
ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,GR-I,large_airport,37.936401,23.9445
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,US-AK,medium_airport,70.46704,-157.436013
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,US-GA,large_airport,33.6367,-84.428101
ATM,Altamira Interstate Airport,Altamira,BR,BR-PA,medium_airport,-3.253144,-52.253938
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN,IN-PB,large_airport,31.7096,74.797302
ATT,Atmautluak Airport,Atmautluak,US,US-AK,small_airport,60.866699,-162.272996
ATW,Appleton International Airport,Appleton,US,US-WI,medium_airport,44.258515,-88.519
ATY,Watertown Regional Airport,Watertown,US,US-SD,medium_airport,44.91400146,-97.15470123
ATZ,Asyut International Airport,Asyut,EG,EG-AST,large_airport,27.045962,31.01276
AUA,Queen Beatrix International Airport,Oranjestad,AW,AW-U-A,large_airport,12.501056,-70.014281
AUC,Santiago Perez Airport,Arauca,CO,CO-ARA,medium_airport,7.06888,-70.7369
AUG,Augusta State Airport,Augusta,US,US-ME,medium_airport,44.320598602299995,-69.7973022461
AUH,Zayed International Airport,Abu Dhabi,AE,AE-AZ,large_airport,24.440966,54.649237
AUK,Alakanuk Airport,Alakanuk,US,US-AK,small_airport,62.682653,-164.722481
AUL,Aur Island Airport,Aur Atoll,MH,MH-AUR,small_airport,8.14528,171.173004
AUQ,Hiva Oa-Atuona Airport,Hiva Oa Island,PF,PF-U-A,medium_airport,-9.76879024506,-139.011001587
AUR,Aurillac airport,Aurillac,FR,FR-ARA,medium_airport,44.891399,2.42194
AUS,Austin Bergstrom International Airport,Austin,US,US-TX,large_airport,30.197535,-97.662015
AUU,Aurukun Airport,Aurukun,AU,AU-QLD,small_airport,-13.354019,141.720028
AUX,Araguaína Airport,Araguaína,BR,BR-TO,medium_airport,-7.22787,-48.240501
AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),CN,CN-52,medium_airport,26.260556,105.873333
AVK,Arvaikheer Airport,Arvaikheer,MN,MN-055,medium_airport,46.250301361083984,102.802001953125
AVL,Asheville Regional Airport,Asheville,US,US-NC,medium_airport,35.435488,-82.541853
AVN,Avignon Caumont airport,Avignon,FR,FR-PAC,medium_airport,43.907299,4.90183
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,US-PA,medium_airport,41.337064,-75.724232
AVR,Amravati  Airport,Amravati,IN,IN-MM,medium_airport,20.814608,77.717765
AVV,Melbourne Avalon International Airport,Geelong/Melbourne,AU,AU-VIC,large_airport,-38.040269,144.467196
AWA,Hawassa International Airport,Hawassa,ET,ET-XSD,large_airport,7.100611,38.396455
AWK,Wake Island Airfield,Wake Island,UM,UM-79,medium_airport,19.282437,166.636637
AWZ,Qasem Soleimani International Airport,Ahvaz,IR,IR-06,large_airport,31.3364,48.763789
AXA,Clayton J. Lloyd International Airport,The Valley,AI,AI-U-A,medium_airport,18.204773,-63.05383
AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR,GR-A,medium_airport,40.8559,25.956301
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,CN-15,medium_airport,38.748317,105.58416
AXJ,Amakusa Airport,Amakusa,JP,JP-43,medium_airport,32.482498,130.158997
AXM,El Eden Airport,Armenia,CO,CO-QUI,medium_airport,4.45278,-75.7664
AXP,Spring Point Airport,Spring Point,BS,BS-AK,medium_airport,22.441799,-73.970901
AXR,Arutua Airport,,PF,PF-U-A,medium_airport,-15.248299598693848,-146.61700439453125
AXT,Akita Airport,Akita,JP,JP-05,medium_airport,39.615601,140.218994
AXU,Axum Airport,Axum,ET,ET-TI,medium_airport,14.1468,38.7728
AYJ,Maharshi Valmiki International Airport,Faizabad,IN,IN-UP,medium_airport,26.747736,82.163664
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,PE,PE-AYA,medium_airport,-13.1548,-74.204399
AYQ,Ayers Rock Connellan Airport,Yulara,AU,AU-NT,medium_airport,-25.185913,130.97703
AYT,Antalya International Airport,Antalya,TR,TR-07,large_airport,36.898701,30.800501
AZA,Mesa Gateway Airport,Mesa,US,US-AZ,medium_airport,33.3078,-111.654999
AZD,Shahid Sadooghi Airport,Yazd,IR,IR-21,medium_airport,31.9048995972,54.2765007019
AZN,Andijan International Airport,Andijan,UZ,UZ-AN,medium_airport,40.727699,72.293999
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,US-MI,medium_airport,42.232105,-85.549637
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,DZ-01,medium_airport,27.837601,-0.186414
AZS,Samaná El Catey International Airport,Samana,DO,DO-20,medium_airport,19.269259,-69.737405
BAH,Bahrain International Airport,Manama,BH,BH-15,large_airport,26.267295,50.63764
BAL,Batman Airport,Batman,TR,TR-72,medium_airport,37.929001,41.1166
BAQ,Ernesto Cortissoz International Airport,Barranquilla,CO,CO-ATL,large_airport,10.8896,-74.7808
BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN,CN-46,medium_airport,19.140951,110.452766
BAS,Ballalae Airport,Ballalae,SB,SB-WE,small_airport,-6.990745,155.886656
BAV,Baotou Donghe International Airport,Baotou,CN,CN-15,large_airport,40.560001,109.997002
BAX,Barnaul Gherman Titov International Airport,Barnaul,RU,RU-ALT,large_airport,53.361285,83.539701
BAY,Maramureș International Airport,Tăuții-Măgherăuș,RO,RO-MM,medium_airport,47.658444,23.464445
BAZ,Barcelos Airport,Barcelos,BR,BR-AM,small_airport,-0.981191,-62.918603
BBA,Balmaceda Airport,Balmaceda,CL,CL-AI,medium_airport,-45.915968,-71.689499
BBG,Butaritari Airport,Butaritari,KI,KI-G,small_airport,3.08583,172.811005
BBI,Biju Patnaik International Airport,Bhubaneswar,IN,IN-OR,large_airport,20.251021,85.814747
BBK,Kasane International Airport,Kasane,BW,BW-CH,large_airport,-17.831653,25.166195
BBM,Battambang Airport,Battambang,KH,KH-2,medium_airport,13.0956,103.223999
BBN,Bario Airport,Bario,MY,MY-13,medium_airport,3.734648,115.478548
BBO,Berbera Airport,Berbera,SO,SO-WO,medium_airport,10.385035,44.936723
BBQ,Burton-Nibbs International Airport,Codrington,AG,AG-10,medium_airport,17.621194,-61.798347
BBR,Basse-Terre Baillif Airport,Basse-Terre,GP,GP-U-A,small_airport,16.013648,-61.742928
BBU,Bucharest Băneasa Aurel Vlaicu International Airport,Bucharest,RO,RO-B,large_airport,44.503133,26.102944
BCA,Gustavo Rizo Airport,Baracoa,CU,CU-14,medium_airport,20.365299224853516,-74.5062026977539
BCD,Bacolod-Silay International Airport,Bacolod City,PH,PH-NEC,large_airport,10.776237,123.018879
BCH,Baucau Airport,Baucau,TL,TL-BA,medium_airport,-8.486479,126.399981
BCI,Barcaldine Airport,Barcaldine,AU,AU-QLD,medium_airport,-23.566268,145.302086
BCM,Bacău George Enescu International  Airport,Bacău,RO,RO-BC,large_airport,46.5219,26.910299
BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,ES-CT,large_airport,41.2971,2.07846
BCO,Jinka Airport,Jinka,ET,ET-SN,medium_airport,5.749655,36.560165
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,NG,NG-BA,large_airport,10.482833,9.744
BDA,L.F. Wade International Airport,Hamilton,BM,BM-U-A,large_airport,32.363802,-64.67824
BDB,Bundaberg Airport,Bundaberg,AU,AU-QLD,medium_airport,-24.905039,152.322612
BDD,Badu Island Airport,Badu Island,AU,AU-QLD,small_airport,-10.14955,142.173665
BDH,Bandar Lengeh International Airport,Bandar Lengeh,IR,IR-22,medium_airport,26.532283,54.82484
BDJ,Syamsudin Noor International Airport,Banjarbaru,ID,ID-KS,large_airport,-3.440112,114.761209
BDL,Bradley International Airport,Hartford,US,US-CT,large_airport,41.938555,-72.688016
BDO,Husein Sastranegara International Airport,Bandung,ID,ID-JB,medium_airport,-6.90063,107.575996
BDP,Bhadrapur Airport,Bhadrapur,NP,NP-P1,small_airport,26.5708007812,88.07959747310001
BDQ,Vadodara International Airport,Vadodara,IN,IN-GJ,large_airport,22.336201,73.226303
BDS,Brindisi Airport,Brindisi,IT,IT-75,large_airport,40.6576,17.947001
BDT,Gbadolite Airport,Gbadolite,CD,CD-NU,medium_airport,4.252745,20.975271
BDU,Bardufoss Airport,Målselv,NO,NO-55,medium_airport,69.055801,18.5404
BEB,Benbecula Airport,Balivanich,GB,GB-SCT,medium_airport,57.481098,-7.36278
BED,Laurence G Hanscom Field,Bedford,US,US-MA,medium_airport,42.470001,-71.289001
BEF,Bluefields Airport,Bluefields,NI,NI-AS,medium_airport,11.991,-83.774101
BEG,Belgrade Nikola Tesla Airport,Belgrade,RS,RS-00,large_airport,44.818401,20.309099
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID,ID-KI,medium_airport,2.14776,117.430705
BEK,Bareilly Air Force Station,Bareilly,IN,IN-UP,medium_airport,28.4221,79.450798
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR,BR-PA,large_airport,-1.379279,-48.476207
BEM,Beni Mellal Airport,Oulad Yaich,MA,MA-05,large_airport,32.401895,-6.315905
BEN,Benina International Airport,Benina,LY,LY-BA,large_airport,32.096802,20.269501
BER,Berlin Brandenburg Airport,Berlin,DE,DE-BR,large_airport,52.361738,13.502341
BES,Brest Bretagne airport,Brest,FR,FR-BRE,large_airport,48.447899,-4.41854
BET,Bethel Airport,Bethel,US,US-AK,medium_airport,60.77980042,-161.8379974
BEU,Bedourie Airport,Bedourie,AU,AU-QLD,medium_airport,-24.3461,139.460007
BEW,Beira International Airport,Beira,MZ,MZ-S,large_airport,-19.7964,34.9076
BEY,Beirut Rafic Hariri International Airport,Beirut,LB,LB-JL,large_airport,33.819833,35.487443
BFD,Bradford Regional Airport,Bradford,US,US-PA,medium_airport,41.8031005859375,-78.64009857177734
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,US-NE,medium_airport,41.87400055,-103.5960007
BFI,King County International Airport - Boeing Field,Seattle,US,US-WA,medium_airport,47.527042,-122.29995
BFJ,Bijie Feixiong Airport,Bijie,CN,CN-52,medium_airport,27.267066,105.472097
BFL,Meadows Field,Bakersfield,US,US-CA,medium_airport,35.433601,-119.056999
BFN,Bram Fischer International Airport,Bloemfontein,ZA,ZA-FS,large_airport,-29.092699,26.302401
BFQ,Bahia Piña Airport,Puerto Piña,PA,PA-5,small_airport,7.58737,-78.179939
BFS,Belfast International Airport,Belfast,GB,GB-NIR,large_airport,54.6575012207,-6.2158298492399995
BFV,Buri Ram Airport,Buriram,TH,TH-31,medium_airport,15.2295,103.252998
BFY,Bengbu Tenghu Airport,Bengbu,CN,CN-34,medium_airport,33.166292,117.058344
BGA,Palonegro Airport,Bucaramanga,CO,CO-SAN,medium_airport,7.1265,-73.1848
BGC,Bragança Airport,Bragança,PT,PT-04,medium_airport,41.8578,-6.70713
BGF,Bangui M'Poko International Airport,Bangui,CF,CF-MP,large_airport,4.39848,18.518801
BGG,Bingöl Airport,Bingöl,TR,TR-12,medium_airport,38.860131,40.594489
BGI,Grantley Adams International Airport,Bridgetown,BB,BB-01,large_airport,13.074667,-59.491034
BGK,Big Creek Airport,Big Creek,BZ,BZ-SC,small_airport,16.519369,-88.407913
BGM,Greater Binghamton/Edwin A Link field,Binghamton,US,US-NY,medium_airport,42.20869827,-75.97979736
